id;start_date;end_date;language
1;2020-10-18T06:53:09;2020-10-18T04:43:24;SPANISH
2;2020-10-17T11:43:20;2020-10-18T06:47:45;SPANISH
3;2020-10-18T02:38:39;2020-10-17T13:12:48;FRENCH
4;2020-10-17T17:56:10;2020-10-18T05:27:36;FRENCH
5;2020-10-18T03:26:28;2020-10-18T08:13:27;FRENCH
6;2020-10-17T21:18:49;2020-10-18T09:27:03;FRENCH
7;2020-10-17T23:04:09;2020-10-17T16:55:00;FRENCH
8;2020-10-17T22:00:22;2020-10-18T08:16:30;SPANISH
9;2020-10-17T20:41:31;2020-10-17T17:22:54;SPANISH
10;2020-10-18T04:53:35;2020-10-17T15:28:05;SPANISH
